pin,symbol,omi_net,group,notes
136,VSS,GND,POWER,
137,DQ58,D7_DQ2,DQ_DQS,byte lane 7
138,VSS,GND,POWER,
139,SA0,SA0,SPD,
140,SA1,SA1,SPD,
141,SCL,SPD_SCL,SPD,
142,VPP,VPP,POWER,
143,VPP,VPP,POWER,
144,NC,NC,OTHER,NC in Table 4
145,NC,NC,OTHER,NC in Table 4
146,VREFCA,VREF,POWER,maps VREFCA->VREF
147,VSS,GND,POWER,
148,DQ5,D0_DQ5,DQ_DQS,byte lane 0
149,VSS,GND,POWER,
150,DQ1,D0_DQ1,DQ_DQS,byte lane 0
151,VSS,GND,POWER,
152,DQS0_c,D0_DQS_c,DQ_DQS,byte lane 0 strobe complement
153,DQS0_t,D0_DQS_t,DQ_DQS,byte lane 0 strobe true
154,VSS,GND,POWER,
155,DQ7,D0_DQ7,DQ_DQS,byte lane 0
156,VSS,GND,POWER,
157,DQ3,D0_DQ3,DQ_DQS,byte lane 0
158,VSS,GND,POWER,
159,DQ13,D1_DQ5,DQ_DQS,byte lane 1
160,VSS,GND,POWER,
161,DQ9,D1_DQ1,DQ_DQS,byte lane 1
162,VSS,GND,POWER,
163,DQS1_c,D1_DQS_c,DQ_DQS,byte lane 1 strobe complement
164,DQS1_t,D1_DQS_t,DQ_DQS,byte lane 1 strobe true
165,VSS,GND,POWER,
166,DQ15,D1_DQ7,DQ_DQS,byte lane 1
167,VSS,GND,POWER,
168,DQ11,D1_DQ3,DQ_DQS,byte lane 1
169,VSS,GND,POWER,
170,DQ21,D2_DQ5,DQ_DQS,byte lane 2
171,VSS,GND,POWER,
172,DQ17,D2_DQ1,DQ_DQS,byte lane 2
173,VSS,GND,POWER,
174,DQS2_c,D2_DQS_c,DQ_DQS,byte lane 2 strobe complement
175,DQS2_t,D2_DQS_t,DQ_DQS,byte lane 2 strobe true
176,VSS,GND,POWER,
177,DQ23,D2_DQ7,DQ_DQS,byte lane 2
178,VSS,GND,POWER,
179,DQ19,D2_DQ3,DQ_DQS,byte lane 2
180,VSS,GND,POWER,
181,DQ29,D3_DQ5,DQ_DQS,byte lane 3
182,VSS,GND,POWER,
183,DQ25,D3_DQ1,DQ_DQS,byte lane 3
184,VSS,GND,POWER,
185,DQS3_c,D3_DQS_c,DQ_DQS,byte lane 3 strobe complement
186,DQS3_t,D3_DQS_t,DQ_DQS,byte lane 3 strobe true
187,VSS,GND,POWER,
188,DQ31,D3_DQ7,DQ_DQS,byte lane 3
189,VSS,GND,POWER,
190,DQ27,D3_DQ3,DQ_DQS,byte lane 3
191,VSS,GND,POWER,
192,CB5/NC,NC,OTHER,ECC/CB lane; NC on x64 non-ECC module
193,VSS,GND,POWER,
194,CB1/NC,NC,OTHER,ECC/CB lane; NC on x64 non-ECC module
195,VSS,GND,POWER,
196,DQS8_c,NC,OTHER,ECC lane 8 strobe; NC on x64 non-ECC module
197,DQS8_t,NC,OTHER,ECC lane 8 strobe; NC on x64 non-ECC module
198,VSS,GND,POWER,
199,CB7/NC,NC,OTHER,ECC/CB lane; NC on x64 non-ECC module
200,VSS,GND,POWER,
201,CB3/NC,NC,OTHER,ECC/CB lane; NC on x64 non-ECC module
202,VSS,GND,POWER,
203,CKE1,NC,CA_CLK,single-rank v1: unused
204,VDD,VDD,POWER,
205,NC,NC,OTHER,NC in Table 4
206,VDD,VDD,POWER,
207,BG1,BG1,CA_CLK,
208,ALERT_n,ALERT_n,CA_CLK,routed; host pull-up assumed
209,VDD,VDD,POWER,
210,A11,A11,CA_CLK,
211,A7,A7,CA_CLK,
212,VDD,VDD,POWER,
213,A5,A5,CA_CLK,
214,A4,A4,CA_CLK,
215,VDD,VDD,POWER,
216,A2,A2,CA_CLK,
217,VDD,VDD,POWER,
218,CK1_t,NC,CA_CLK,single-rank v1: unused
219,CK1_c,NC,CA_CLK,single-rank v1: unused
220,VDD,VDD,POWER,
221,VTT,VTT,POWER,termination rail — host supplied
222,PARITY,PARITY,CA_CLK,routed; parity not enabled in v1
223,VDD,VDD,POWER,
224,BA1,BA1,CA_CLK,
225,A10/AP,A10,CA_CLK,auto precharge / address bit 10
226,VDD,VDD,POWER,
227,NC,NC,OTHER,NC in Table 4
228,WE_n/A14,A14,CA_CLK,write enable / address bit 14
229,VDD,VDD,POWER,
230,NC,NC,OTHER,density-dependent; A17 NC for 8Gb-class devices
231,VDD,VDD,POWER,
232,A13,A13,CA_CLK,
233,VDD,VDD,POWER,
234,NC,NC,OTHER,NC in Table 4
235,NC,NC,OTHER,NC in Table 4
236,VDD,VDD,POWER,
237,NC,NC,OTHER,NC in Table 4
238,SA2,SA2,SPD,
239,VDD,VDD,POWER,
240,DQ37,D4_DQ5,DQ_DQS,byte lane 4
241,VSS,GND,POWER,
242,DQ33,D4_DQ1,DQ_DQS,byte lane 4
243,VSS,GND,POWER,
244,DQS4_c,D4_DQS_c,DQ_DQS,byte lane 4 strobe complement
245,DQS4_t,D4_DQS_t,DQ_DQS,byte lane 4 strobe true
246,VSS,GND,POWER,
247,DQ39,D4_DQ7,DQ_DQS,byte lane 4
248,VSS,GND,POWER,
249,DQ35,D4_DQ3,DQ_DQS,byte lane 4
250,VSS,GND,POWER,
251,DQ45,D5_DQ5,DQ_DQS,byte lane 5
252,VSS,GND,POWER,
253,DQ41,D5_DQ1,DQ_DQS,byte lane 5
254,VSS,GND,POWER,
255,DQS5_c,D5_DQS_c,DQ_DQS,byte lane 5 strobe complement
256,DQS5_t,D5_DQS_t,DQ_DQS,byte lane 5 strobe true
257,VSS,GND,POWER,
258,DQ47,D5_DQ7,DQ_DQS,byte lane 5
259,VSS,GND,POWER,
260,DQ43,D5_DQ3,DQ_DQS,byte lane 5
261,VSS,GND,POWER,
262,DQ53,D6_DQ5,DQ_DQS,byte lane 6
263,VSS,GND,POWER,
264,DQ49,D6_DQ1,DQ_DQS,byte lane 6
265,VSS,GND,POWER,
266,DQS6_c,D6_DQS_c,DQ_DQS,byte lane 6 strobe complement
267,DQS6_t,D6_DQS_t,DQ_DQS,byte lane 6 strobe true
268,VSS,GND,POWER,
269,DQ55,D6_DQ7,DQ_DQS,byte lane 6
270,VSS,GND,POWER,
271,DQ51,D6_DQ3,DQ_DQS,byte lane 6
272,VSS,GND,POWER,
273,DQ61,D7_DQ5,DQ_DQS,byte lane 7
274,VSS,GND,POWER,
275,DQ57,D7_DQ1,DQ_DQS,byte lane 7
276,VSS,GND,POWER,
277,DQS7_c,D7_DQS_c,DQ_DQS,byte lane 7 strobe complement
278,DQS7_t,D7_DQS_t,DQ_DQS,byte lane 7 strobe true
279,VSS,GND,POWER,
280,DQ63,D7_DQ7,DQ_DQS,byte lane 7
281,VSS,GND,POWER,
282,DQ59,D7_DQ3,DQ_DQS,byte lane 7
283,VSS,GND,POWER,
284,VDDSPD,VDDSPD,POWER,SPD supply rail 2.2-3.6V NOM
285,SDA,SPD_SDA,SPD,
286,VPP,VPP,POWER,
287,VPP,VPP,POWER,
288,VPP,VPP,POWER,
